,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,split2_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,split2_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Sensitivity,split1_test_Sensitivity,split2_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,split2_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity
Malignant,0,1573.4864064057667,16.364573972541116,7.970422744750977,0.08899862325968788,0.8356034757507762,0.015071858181315425,5,3,499,0.7564580603777014,"{'colsample_bytree': 0.8356034757507762, 'learning_rate': 0.015071858181315425, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 499, 'subsample': 0.7564580603777014}",0.8548633777860674,0.8758665733613249,0.7940706998105088,0.8416092854876933,0.03468029723448075,36,0.9148219351948633,0.8974850601094426,0.9216063058230918,0.9113044337091326,0.010156713255154541,0.8677518557794274,0.8807606332486144,0.7867432775975033,0.8450974794248546,0.04158906416320708,38,0.9075230597171932,0.890118006386228,0.9182545384359686,0.9052985348464633,0.011593891843607209,0.9635896892405883,0.9815495216753307,0.981625942879247,0.9755854684031321,0.008485440863783613,12,0.990626473112301,0.986533395701519,0.9909681077578226,0.9893759921905475,0.0020148522952205465
Malignant,1,459.2907814979553,3.6890741154314823,2.4378785292307534,0.06245378094859698,0.8870873852177835,0.03310774131606731,7,3,101,0.6848469083590298,"{'colsample_bytree': 0.8870873852177835, 'learning_rate': 0.03310774131606731, 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 101, 'subsample': 0.6848469083590298}",0.8500699431129348,0.8728248192209004,0.7873031578750852,0.8367419930707173,0.03616045406362099,40,0.919371546961326,0.902439365736918,0.9206128588419114,0.9141412571800517,0.008289990402342112,0.8638843080045668,0.8786717101171481,0.7815336849355909,0.8413756461605926,0.042728859256626284,39,0.9114362662076242,0.8926437712529609,0.9165601723870581,0.9068800699492144,0.010281626137942127,0.9623061433567669,0.9803210064724551,0.9801947005351042,0.9742710559208565,0.00846370663663092,15,0.9919620949318894,0.9903985819444102,0.9918070727643029,0.9913892498802008,0.0007033610677139326
Malignant,2,181.35034473737082,0.9868571338096241,1.3518965244293213,0.012759296463469244,0.8989967127620703,0.06493691060200937,3,2,88,0.8218199836670546,"{'colsample_bytree': 0.8989967127620703, 'learning_rate': 0.06493691060200937, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 88, 'subsample': 0.8218199836670546}",0.8242842488109671,0.8493212036389083,0.7646949005404698,0.8127756318149869,0.035490626860158504,47,0.8400869792444378,0.8345579145265652,0.8599193115832187,0.8448547351180739,0.010888793542575503,0.8254321595666092,0.8514506239348052,0.7582868702817388,0.8117332077383812,0.03924447461043387,47,0.8316749082304402,0.8247558169266173,0.8563820229205766,0.8376042493592113,0.013575027097802075,0.9868230473027872,0.9888182366256782,0.9907936303268648,0.988811014374597,0.0016210029391424024,4,0.9940833766453532,0.9926450675792117,0.9927038974264025,0.9931441138836559,0.0006645931785002893
Malignant,3,149.3653560479482,1.4971921390985916,1.3628928661346436,0.035544543798400156,0.8013470208857532,0.04107973983568139,4,1,65,0.47202541956922306,"{'colsample_bytree': 0.8013470208857532, 'learning_rate': 0.04107973983568139, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 65, 'subsample': 0.47202541956922306}",0.821589107525879,0.8463820853743876,0.7589354889899094,0.8089782107024451,0.03679334922741627,48,0.8275160519635658,0.8203154521153765,0.8530164874886313,0.8336159971891912,0.014029645456138917,0.8204953331124925,0.8471232983199402,0.7536580103561902,0.8071021511210026,0.03931107597800721,48,0.8199464191456941,0.810999994982212,0.8495685987374587,0.8268383376217883,0.016482479670206465,0.9916746152306262,0.9916847720990547,0.9908967829282445,0.9914188418618751,0.0003690481426274817,3,0.995128908657972,0.9947623033555725,0.9935949361229401,0.9944953827121615,0.0006540656985182197
Malignant,4,1094.6589454809825,7.671496588101373,7.950427691141765,0.15068872866169683,0.5296475220479783,0.010525439650477012,6,3,425,0.9945289249775142,"{'colsample_bytree': 0.5296475220479783, 'learning_rate': 0.010525439650477012, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 425, 'subsample': 0.9945289249775142}",0.8502751095775436,0.8692045719617448,0.7856416096481812,0.8350501035660304,0.03577005976442724,41,0.9079625205315813,0.8907673575637132,0.9132342995732375,0.903988059222844,0.009592987989006005,0.8606909410877399,0.8737897473771536,0.7792749930937106,0.8379308456434496,0.04180523974957652,41,0.898943392094602,0.8808075054631491,0.9087073813195957,0.8961527596257822,0.011559743087782588,0.9675463077448452,0.9824481577959527,0.9820643414351106,0.977350584152416,0.006936962632980105,10,0.992354924878827,0.989832344469337,0.9920269394556563,0.9914047362679401,0.0011198826086362549
Malignant,5,1296.3523761431377,18.689887387721328,10.565915902455648,0.32954630931793544,0.5871568709806494,0.02096590175259963,8,3,361,0.7420244690261819,"{'colsample_bytree': 0.5871568709806494, 'learning_rate': 0.02096590175259963, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 361, 'subsample': 0.7420244690261819}",0.8655786626876807,0.8908700723116398,0.8133371916101149,0.8566030342047808,0.03227938116349892,21,0.969575929520681,0.9574405553300771,0.9694643315221193,0.9654936054576257,0.005694548609323927,0.8872436481870009,0.897188955942591,0.8041598850113086,0.8628767317596764,0.04170300683094787,21,0.9668675760459624,0.9528523083646844,0.9680577370195853,0.962592540476744,0.006904501525979618,0.9511428268626135,0.9791607421141837,0.9810843917220038,0.9704578292228885,0.013685285238555398,23,0.9946816868722276,0.9929835791132229,0.9949488520644325,0.9942047060166276,0.0008703284803818522
Malignant,6,1847.0552569230397,9.052150931170708,14.670255104700724,0.4422693929807618,0.6245423685131288,0.05307989754388592,8,3,493,0.6979827882083347,"{'colsample_bytree': 0.6245423685131288, 'learning_rate': 0.05307989754388592, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 493, 'subsample': 0.6979827882083347}",0.8755478877179894,0.906134826218801,0.8260881740705132,0.8692642146709213,0.032975879376887375,3,0.9958890174705092,0.9927224889087932,0.9970149949861243,0.9952088337884756,0.0018172120564131063,0.9043933196230424,0.9163288661668288,0.81581091220924,0.8788577541058563,0.044831214653935844,3,0.9959680092573061,0.9921761258671103,0.9968949834937785,0.9950130395393982,0.0020413851011476924,0.9424877238845515,0.9745538101034,0.9813293791502804,0.9661174192743621,0.016942078135652298,45,0.9987187700192185,0.998270513798961,0.9994098315126828,0.9987997051102875,0.0004686321086771648
Malignant,7,475.934397538503,4.266354362184936,4.431566635767619,0.10613901950608112,0.5702998054510255,0.015041990229411535,5,2,271,0.3176328538914443,"{'colsample_bytree': 0.5702998054510255, 'learning_rate': 0.015041990229411535, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 271, 'subsample': 0.3176328538914443}",0.841424974354192,0.8631677163517611,0.7762417272633927,0.8269545366897435,0.036929961158483716,44,0.876675190383754,0.8641764516535345,0.8912338798069075,0.877361840614732,0.01105681451936653,0.8457285971717419,0.8654114782886334,0.7702822670136997,0.82715209478071,0.04099468266437471,45,0.8669974924112446,0.8535570177996702,0.8872966531965599,0.869283721135825,0.013868690890265161,0.9782032712756562,0.9866228344575764,0.9845271097930501,0.9831166962339878,0.0035793144535637327,5,0.992536231008183,0.990792486274896,0.990939177930013,0.9914226317376973,0.0007897075880095975
Malignant,8,1217.1483263969421,8.571697451097508,8.540905316670736,0.16670448563246804,0.6781189589616246,0.0720594473699075,6,3,436,0.44656847536235844,"{'colsample_bytree': 0.6781189589616246, 'learning_rate': 0.0720594473699075, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 436, 'subsample': 0.44656847536235844}",0.8734589200783363,0.9088593421973408,0.8271336426177786,0.8698240310511486,0.03345926755334184,1,0.9838407122592205,0.9764227300929749,0.9864042349758634,0.9822225591093529,0.004232526798033035,0.903510756215079,0.9190467508231533,0.81741150156996,0.8800026456303303,0.04469585773254956,1,0.9839406377144087,0.9762570339444545,0.9868207681773122,0.9823394799453918,0.004458766637129959,0.9406742737367672,0.9747471874964453,0.9801560183095868,0.9651861584722387,0.01747883452672956,50,0.9953162583249731,0.9930451266648612,0.9964416311794112,0.9949343387230818,0.0014126706778465547
Malignant,9,655.1650940577189,4.837041185684732,3.3655780951182046,0.12325197922680713,0.8696787448574498,0.05485906031483633,6,2,175,0.6168243711181878,"{'colsample_bytree': 0.8696787448574498, 'learning_rate': 0.05485906031483633, 'max_depth': 6, 'min_child_weight': 2, 'n_estimators': 175, 'subsample': 0.6168243711181878}",0.8660636016040287,0.890422206671332,0.8114142762463945,0.8559747958225258,0.03303107823455113,23,0.9491376735851874,0.9312601756865818,0.9505981670203587,0.9436653387640427,0.008792015828858314,0.8873420362095278,0.8973944257197416,0.8026171380329253,0.8624640178008863,0.04250226219205999,23,0.9455070558937465,0.9270686993773523,0.9489158946774248,0.9404972166495078,0.00959683463647304,0.9517080580775074,0.9782621059935617,0.980671781316485,0.9702093201283994,0.013124041113740163,25,0.9912550010274014,0.9869519190526601,0.9921253008702092,0.9901107403167569,0.002261705740951639
Malignant,10,1116.185648838679,11.535236332341888,8.932111581166586,0.166727314835455,0.6093316545468337,0.060680017336766374,8,3,313,0.6329192753058628,"{'colsample_bytree': 0.6093316545468337, 'learning_rate': 0.060680017336766374, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 313, 'subsample': 0.6329192753058628}",0.8722372470390749,0.9052950781432237,0.8231011210783261,0.8668849950549553,0.03376440371239194,10,0.9899628565029117,0.9858415088706329,0.9930412070614025,0.9896151908116492,0.002949527316277826,0.9001224732862168,0.9142437059845087,0.8130020509314647,0.8758025549820784,0.044764295059059586,10,0.9896972132101157,0.9848146684100101,0.9928038103565306,0.9891052306588856,0.0032883055176523546,0.9433473463572026,0.976100829247762,0.9813680613757978,0.9669326459150186,0.016821369595917898,43,0.9973831481996301,0.9966887417218543,0.9986055822995742,0.9975591574070196,0.0007923820126314393
Malignant,11,1611.8386681079865,20.73632550767966,13.949821551640829,0.3687566790283362,0.5590734958886011,0.012407839277135565,8,3,459,0.8357607257266806,"{'colsample_bytree': 0.5590734958886011, 'learning_rate': 0.012407839277135565, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 459, 'subsample': 0.8357607257266806}",0.8631166651123753,0.8848705388383485,0.8051134613410001,0.8510421914945231,0.03365844396021461,27,0.9615966104225773,0.9477931880630158,0.9570998810662065,0.9554965598505999,0.005748135720934276,0.8823996951385487,0.8911108350929491,0.796977667857854,0.8568423359294427,0.04246540834993978,27,0.9575815426163481,0.941684816564385,0.9545893988220914,0.9512852526676081,0.006897560493895917,0.954345803747012,0.9793086189441594,0.9805944168654503,0.9714120467991291,0.012083452053311424,19,0.9943069875382253,0.9925896747827372,0.9940693852990187,0.9936553492066604,0.0007597632040629731
