,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_Accuracy,split1_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_train_Accuracy,split1_train_Accuracy,mean_train_Accuracy,std_train_Accuracy,split0_test_Precision,split1_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision,split0_train_Precision,split1_train_Precision,mean_train_Precision,std_train_Precision,split0_test_Sensitivity,split1_test_Sensitivity,mean_test_Sensitivity,std_test_Sensitivity,rank_test_Sensitivity,split0_train_Sensitivity,split1_train_Sensitivity,mean_train_Sensitivity,std_train_Sensitivity
Malignant,0,79.50727939605713,0.09146237373352051,1.3475637435913086,0.012995243072509766,0.6228956117700761,0.03672907952851455,4,2,395,0.7057405876286331,"{'colsample_bytree': 0.6228956117700761, 'learning_rate': 0.03672907952851455, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 395, 'subsample': 0.7057405876286331}",0.7449299897718055,0.773968253968254,0.759448353702626,0.014519132077903438,7,0.9086772486772486,0.9418756392621592,0.9252764439697039,0.016599195292455293,0.5699051357540071,0.6193824518495873,0.5946424849473426,0.024738658013166128,7,0.8095407935800267,0.8767444129989265,0.8431426032894767,0.03360180970944987,0.9297683850997972,0.8501888375996642,0.8899807165173806,0.03978977369437716,6,0.952475870751154,0.9589070338349878,0.9556914522930708,0.0032155815419168676
Malignant,1,231.20472311973572,0.005997419357299805,3.1189907789230347,0.03898727893829346,0.8915905081229824,0.06924016692971051,8,3,431,0.5033720697386161,"{'colsample_bytree': 0.8915905081229824, 'learning_rate': 0.06924016692971051, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 431, 'subsample': 0.5033720697386161}",0.7730751595951045,0.804973544973545,0.7890235084563427,0.015949192666897927,1,0.9979188712522046,0.9986244841815681,0.9982716777168863,0.00035280646468177634,0.6003967982486146,0.6630018731167033,0.631697679551373,0.0313025373902337,1,0.9938483995412366,0.9958545918367347,0.9948514956889857,0.0010030961477490719,0.9367061586081759,0.8540704993705414,0.8953905150022479,0.041317829560989276,2,1.0,1.0,1.0,0.0
Malignant,2,174.32911503314972,0.16544592380523682,2.345241665840149,0.11396372318267822,0.8473248055332542,0.05319628055523021,7,1,347,0.8283055906412617,"{'colsample_bytree': 0.8473248055332542, 'learning_rate': 0.05319628055523021, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 347, 'subsample': 0.8283055906412617}",0.764751525411773,0.8005291005291005,0.782639366523817,0.0178887875336268,4,0.9964373897707232,0.9973900469086163,0.9969137183396697,0.0004763285689465824,0.5907715073653057,0.6581545239455006,0.6244612331302304,0.03369150824294317,3,0.9905336523457817,0.9925808161102279,0.9915572342280048,0.001023581882223068,0.9374533034475397,0.8463071758287872,0.8918826507838071,0.04557306374559271,3,0.9989509022240873,0.999573060091792,0.9992619811579397,0.00031107893385234897
Malignant,3,9.185029864311218,0.048984646797180176,0.3133976459503174,0.007496833801269531,0.7033660425259116,0.043412481009843365,3,3,53,0.4817365591766428,"{'colsample_bytree': 0.7033660425259116, 'learning_rate': 0.043412481009843365, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 53, 'subsample': 0.4817365591766428}",0.6022290410185871,0.6128747795414462,0.6075516286616228,0.0053228692539797244,10,0.7191534391534391,0.746764010863048,0.7329587250082436,0.01380528585480445,0.45039754716000624,0.4577155248197855,0.454056342402846,0.0036589888247685514,10,0.5498665989073815,0.5784419121335913,0.5641542555204864,0.014287656613104882,0.9250720461095101,0.8193453629878305,0.8722115014028875,0.05286334148685289,10,0.9080990348300462,0.86145799978653,0.884778517308288,0.023320517521758066
Malignant,4,121.06934249401093,0.04148590564727783,1.4970148801803589,0.03548777103424072,0.9049485173890889,0.04915466364811731,4,2,446,0.5027524042269432,"{'colsample_bytree': 0.9049485173890889, 'learning_rate': 0.04915466364811731, 'max_depth': 4, 'min_child_weight': 2, 'n_estimators': 446, 'subsample': 0.5027524042269432}",0.7668677035939759,0.7896296296296297,0.7782480644763063,0.011380963001898205,5,0.9433509700176367,0.9617677141748668,0.9525593420962517,0.009208372078615079,0.5929519574152685,0.6394839718530102,0.6162167336935956,0.023266007186308002,6,0.8792344497607656,0.9123942259830762,0.8958143378719209,0.016579888111155294,0.9392677980574234,0.8580570709190096,0.8986645828064838,0.0406053635123761,1,0.9639110365086025,0.9782260646813961,0.9710685505949993,0.007157514086396755
Malignant,5,141.72316181659698,2.600160002708435,3.045013666152954,0.02999091148376465,0.50564741925856,0.06071285842578138,9,3,374,0.7706830796551776,"{'colsample_bytree': 0.50564741925856, 'learning_rate': 0.06071285842578138, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 374, 'subsample': 0.7706830796551776}",0.7694423870489895,0.7963668430335097,0.7829039027917394,0.013462227973418518,2,0.9979188712522046,0.9986950234543082,0.9983069473532564,0.000388076101051793,0.5963396380459927,0.6530911460454508,0.6247138907625093,0.028375753960014693,2,0.9938483995412366,0.9960663406336381,0.9949573700874373,0.0011089705462007382,0.9355320738606041,0.8411665967268149,0.8883518316028237,0.04718273850085816,7,1.0,1.0,1.0,0.0
Malignant,6,238.80326199531555,0.4943404197692871,4.114668965339661,0.00399935245513916,0.7232734640230577,0.04820083543011305,9,2,484,0.5483230699205706,"{'colsample_bytree': 0.7232734640230577, 'learning_rate': 0.04820083543011305, 'max_depth': 9, 'min_child_weight': 2, 'n_estimators': 484, 'subsample': 0.5483230699205706}",0.7667266250484958,0.7987301587301587,0.7827275452797912,0.016001766818435594,3,0.9979188712522046,0.9986597538179381,0.9982893125350714,0.0003704412828667847,0.5931309580150091,0.6551752109020117,0.6241514431629999,0.031022126400083054,4,0.9938483995412366,0.9959604549803338,0.9949044272607852,0.0010560277195486023,0.9363859536770199,0.8473562736047,0.8918734687987901,0.044514839973857495,4,1.0,1.0,1.0,0.0
Malignant,7,119.75376725196838,0.3024020195007324,1.8404037952423096,0.02699136734008789,0.7826376758151738,0.0620064750921046,9,1,212,0.723998015345773,"{'colsample_bytree': 0.7826376758151738, 'learning_rate': 0.0620064750921046, 'max_depth': 9, 'min_child_weight': 1, 'n_estimators': 212, 'subsample': 0.723998015345773}",0.7617183366839488,0.7913932980599647,0.7765550323616034,0.014837480667241571,6,0.9979188712522046,0.9982717878178676,0.9980953295350361,0.00017645828283152643,0.5878555577970547,0.6470492602828808,0.6174508431518537,0.029596851201489638,5,0.9938483995412366,0.9950074357340132,0.994427917637625,0.0005795180963882873,0.9330771693884086,0.8350818296265212,0.8840820918396104,0.048997669812367084,8,1.0,0.999786530045896,0.999893265022948,0.00010673497705199209
Malignant,8,43.98877239227295,0.0639796257019043,0.6837782859802246,0.006997346878051758,0.7784411845127279,0.04750977765126224,5,3,147,0.5634651178495955,"{'colsample_bytree': 0.7784411845127279, 'learning_rate': 0.04750977765126224, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 147, 'subsample': 0.5634651178495955}",0.7293055408598738,0.7652910052910052,0.7472973211293935,0.017992732190383318,8,0.8967195767195767,0.9327408034423165,0.9147301900809466,0.018010613361369887,0.5536755386565273,0.6083584337349398,0.5810155396348352,0.027341447500939472,8,0.786036036036036,0.8595105029870881,0.822773269511562,0.03673723347552604,0.9325434945031487,0.8475660931598825,0.8900570417919765,0.042488700612166364,5,0.9519513218631976,0.952075995303661,0.9520136585834293,6.233672023170378e-05
Malignant,9,31.67125701904297,0.007497072219848633,0.5053359270095825,0.005497574806213379,0.9150521292453178,0.027688770250164273,4,3,125,0.40432579679340025,"{'colsample_bytree': 0.9150521292453178, 'learning_rate': 0.027688770250164273, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 125, 'subsample': 0.40432579679340025}",0.6675484075759179,0.7088183421516755,0.6881822831243497,0.020634967258998313,9,0.8002469135802469,0.8656932247028533,0.83297006914155,0.032723155561303174,0.4983608443089665,0.5439163628860306,0.5211373984888118,0.022777759256652572,9,0.6416697180519956,0.7497081275258195,0.6956889227889076,0.05401920473691196,0.9248585761554061,0.829626521191775,0.8772450679068312,0.047616027415172686,9,0.9192194712547209,0.8910235884299285,0.9051215298423247,0.014097941412396231
